competition,player.url,id,slug,player_name,nickname,firstname,lastname,gender,date_of_birth,place_of_birth,weight,height,international,twitter,instagram,country,team,team.shortname,team.foundation,team.shield,shirt_number,position,photo,stadium,stadium.image,aerial_duels,aerial_duels_lost,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,away_goals,backward_passes,blocked_shots,blocks,catches,clean_sheets,clearances_off_the_line,corners_taken_incl_short_corners,corners_won,crosses_not_claimed,drops,duels,duels_lost,duels_won,fifty_fifty,forward_passes,foul_attempted_tackle,foul_won_penalty,games_played,gk_successful_distribution,gk_unsuccessful_distribution,assists,goalkeeper_smother,goals,goals_conceded,goals_conceded_inside_box,goals_conceded_outside_box,goals_from_inside_box,goals_from_outside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,headed_goals,hit_woodwork,home_goals,index,interceptions,key_passes_attempt_assists,last_man_tackle,left_foot_goals,leftside_passes,offsides,open_play_passes,other_goals,own_goal_scored,penalties_conceded,penalties_faced,penalties_off_target,penalties_saved,penalties_taken,penalty_goals,penalty_goals_conceded,punches,putthrough_blocked_distribution,putthrough_blocked_distribution_won,recoveries,red_cards_2nd_yellow,right_foot_goals,rightside_passes,saves_from_penalty,saves_made,saves_made_caught,saves_made_from_inside_box,saves_made_from_outside_box,saves_made_parried,second_goal_assists,set_pieces_goals,shots_off_target_inc_woodwork,shots_on_target_inc_goals,starts,straight_red_cards,substitute_off,substitute_on,successful_corners_into_box,successful_crosses_corners,successful_crosses_open_play,successful_dribbles,successful_fifty_fifty,successful_launches,successful_layoffs,successful_long_passes,successful_open_play_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,tackles_lost,tackles_won,team_games_played,through_balls,throw_ins_to_opposition_player,throw_ins_to_own_player,minutes_played,times_tackled,total_clearances,total_fouls_conceded,total_fouls_won,total_losses_of_possession,total_passes,red_cards,total_shots,total_successful_passes_excl_crosses_corners,total_tackles,total_touches_in_opposition_box,total_unsuccessful_passes_excl_crosses_corners,touches,unsuccessful_corners_into_box,unsuccessful_crosses_corners,unsuccessful_crosses_open_play,unsuccessful_dribbles,unsuccessful_launches,unsuccessful_layoffs,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,winning_goal,yellow_cards
LaLiga Santander,https://www.laliga.com/en-ES/player/giorgi-gagua,26573,giorgi-gagua,Giorgi Gagua,Gagua,Giorgi,Gagua,male,2001-10-10T00:00:00+00:00,Tbilisi,,193.0,False,,,GE,Deportivo Alavés,ALA,1921-01-23T00:00:00+0000,https://assets.laliga.com/assets/2020/09/01/medium/27002754a98bf535807fe49a24cc63ea.png,34.0,Forward,,Mendizorroza,https://assets.laliga.com/assets/2019/06/17/medium/6b906780ba96aa6689192fb9afcaac6b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaLiga Santander,https://www.laliga.com/en-ES/player/giorgi,14628,giorgi,Giorgi Kochorashvili,Giorgi,Giorgi,Kochorashvili,male,1999-06-29T00:00:00+00:00,Tbilisi,74.0,178.0,False,,,GE,Levante UD,LEV,1909-09-07T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/levante.png,46.0,Midfielder,,Estadio Ciutat de València,https://assets.laliga.com/assets/2021/07/21/medium/ae79ef9d1c26baf8602706ba1acef94b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaLiga Santander,https://www.laliga.com/en-ES/player/giorgi-mamardashvili,15006,giorgi-mamardashvili,Giorgi Mamardashvili,Mamardashvili,Giorgi,Mamardashvili,male,2000-09-29T00:00:00+00:00,,,199.0,False,,,GE,Valencia CF,VAL,1919-03-18T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/valencia.png,28.0,Goalkeeper,https://assets.laliga.com/squad/2021/t191/p449027/512x556/p449027_t191_2021_1_001_000.png,Camp de Mestalla,https://assets.laliga.com/assets/2019/06/17/medium/984682326cdbb55f5034778b7690a795.png,6.0,,6.0,18.0,,,0.0,,,,10.0,8.0,,,,,3.0,8.0,,8.0,,337.0,,,18.0,137.0,76.0,,,,20.0,15.0,5.0,,,2.0,,2.0,,,,0.0,56.0,,,,,35.0,,177.0,,,,2.0,,,,,2.0,13.0,,,141.0,,,59.0,,55.0,1.0,34.0,21.0,8.0,,,,,18.0,,,,,,,,,32.0,,126.0,99.0,103.0,118.0,95.0,,,38.0,,,,1620.0,,19.0,,2.0,218.0,431.0,,,221.0,,,210.0,589.0,,,,,71.0,,208.0,183.0,27.0,2.0,0.0,2.0
LaLiga Santander,https://www.laliga.com/en-ES/player/lo-celso,6371,lo-celso,Giovani Lo Celso,Lo Celso,Giovani,Lo Celso,male,1996-04-09T00:00:00+00:00,Rosario,68.0,177.0,True,https://twitter.com/LoCelsoGiovani,https://instagram.com/locelsogiovani/,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaLiga Santander,https://www.laliga.com/en-ES/player/giovanni-gonzalez,25561,giovanni-gonzalez,Giovanni González,G. Gonzalez,Giovanni,González,male,1994-09-20T00:00:00+00:00,Montevideo,73.0,173.0,False,,,UY,RCD Mallorca,MLL,1916-03-06T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/mallorca.png,2.0,Defender,https://assets.laliga.com/squad/2021/t181/p195923/512x556/p195923_t181_2021_1_001_000.png,Visit Mallorca Estadi,https://assets.laliga.com/assets/2019/08/07/medium/6f67f604b5025b10ef0dc14d700586ae.png,18.0,12.0,6.0,9.0,,,1.0,28.0,,2.0,,,,,1.0,,,41.0,20.0,21.0,10.0,58.0,,,9.0,,,,,1.0,9.0,9.0,,1.0,,23.0,8.0,15.0,1.0,,,0.0,81.0,4.0,6.0,,,64.0,,149.0,,,,,,,,,,,9.0,5.0,20.0,,1.0,3.0,,,,,,,,,2.0,1.0,3.0,,2.0,6.0,,1.0,1.0,3.0,4.0,2.0,,5.0,112.0,64.0,53.0,111.0,6.0,3.0,38.0,1.0,8.0,32.0,363.0,4.0,13.0,3.0,3.0,61.0,153.0,,3.0,116.0,9.0,9.0,37.0,262.0,,9.0,9.0,1.0,3.0,,10.0,40.0,6.0,27.0,0.0,1.0
LaLiga Santander,https://www.laliga.com/en-ES/player/giuliano-simeone,22856,giuliano-simeone,Giuliano Simeone,Giuliano,Giuliano,Simeone,male,2002-12-18T00:00:00+00:00,Roma,,,False,,,AR,Atlético de Madrid,ATM,1903-04-26T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/atletico.png,27.0,Forward,https://assets.laliga.com/squad/2021/t175/p482652/512x556/p482652_t175_2021_1_001_000.png,Wanda Metropolitano,https://assets.laliga.com/assets/2019/06/17/medium/935f92c15c4d3442ef3f6d843beba0e1.png,1.0,,1.0,1.0,,,0.0,2.0,,,,,,,,,,3.0,,3.0,,1.0,,,1.0,,,,,,,,,,,2.0,,2.0,,,,0.0,100.0,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,1.0,,,38.0,,,,1.0,,,,2.0,2.0,3.0,,,1.0,,1.0,2.0,5.0,,,,,,,,2.0,,2.0,0.0,
LaLiga Santander,https://www.laliga.com/en-ES/player/escalante,1893,escalante,Gonzalo Escalante,Escalante,Gonzalo,Escalante,male,1993-03-27T00:00:00+00:00,Bella Vista,76.0,182.0,False,https://twitter.com/gonza_escalante,,AR,Deportivo Alavés,ALA,1921-01-23T00:00:00+0000,https://assets.laliga.com/assets/2020/09/01/medium/27002754a98bf535807fe49a24cc63ea.png,16.0,Midfielder,https://assets.laliga.com/squad/2021/t173/p156305/512x556/p156305_t173_2021_1_001_000.png,Mendizorroza,https://assets.laliga.com/assets/2019/06/17/medium/6b906780ba96aa6689192fb9afcaac6b.png,60.0,25.0,35.0,17.0,,,2.0,46.0,3.0,2.0,,1.0,,,1.0,,,176.0,82.0,94.0,44.0,170.0,14.0,1.0,17.0,,,,,5.0,26.0,22.0,4.0,5.0,,116.0,57.0,59.0,3.0,3.0,,3.0,57.0,21.0,7.0,,1.0,101.0,3.0,392.0,,,,,,,,,3.0,,35.0,25.0,93.0,1.0,1.0,78.0,,,,,,,,,4.0,9.0,15.0,,8.0,2.0,,1.0,1.0,7.0,25.0,7.0,4.0,20.0,261.0,151.0,114.0,244.0,16.0,14.0,38.0,,,,1305.0,16.0,26.0,25.0,23.0,166.0,395.0,1.0,13.0,264.0,30.0,25.0,131.0,628.0,,2.0,2.0,2.0,18.0,1.0,28.0,102.0,31.0,103.0,2.0,6.0
LaLiga Santander,https://www.laliga.com/en-ES/player/melero,6201,melero,Gonzalo Melero,Melero,Gonzalo,Melero,male,1994-01-02T00:00:00+00:00,Madrid,77.0,183.0,False,,,ES,Levante UD,LEV,1909-09-07T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/levante.png,22.0,Midfielder,https://assets.laliga.com/squad/2021/t855/p195457/512x556/p195457_t855_2021_1_001_000.png,Estadio Ciutat de València,https://assets.laliga.com/assets/2021/07/21/medium/ae79ef9d1c26baf8602706ba1acef94b.png,59.0,31.0,28.0,29.0,1.0,,4.0,172.0,6.0,8.0,,,,,2.0,,,201.0,108.0,93.0,40.0,201.0,12.0,,29.0,,,2.0,,7.0,39.0,33.0,6.0,6.0,1.0,142.0,77.0,65.0,2.0,1.0,,3.0,52.0,7.0,14.0,,,180.0,2.0,756.0,,,,,,,2.0,2.0,1.0,,22.0,13.0,96.0,,6.0,215.0,,,,,,,,,5.0,11.0,20.0,,14.0,9.0,,,,12.0,22.0,1.0,15.0,23.0,641.0,300.0,353.0,630.0,13.0,16.0,38.0,5.0,,4.0,1696.0,39.0,22.0,20.0,27.0,191.0,768.0,,16.0,653.0,29.0,28.0,115.0,1023.0,,3.0,3.0,14.0,3.0,2.0,15.0,75.0,43.0,100.0,3.0,5.0
LaLiga Santander,https://www.laliga.com/en-ES/player/gonzalo-montiel,9585,gonzalo-montiel,Gonzalo Montiel,G. Montiel,Gonzalo,Montiel,male,1997-01-01T00:00:00+00:00,La Matanza,69.0,178.0,False,,,AR,Sevilla FC,SEV,1905-10-14T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/sevilla.png,2.0,Defender,https://assets.laliga.com/squad/2021/t179/p218430/512x556/p218430_t179_2021_1_001_000.png,Ramón Sánchez-Pizjuán,https://assets.laliga.com/assets/2021/01/20/medium/5a52ab192cd4e4b1cc3e3a752d99c4e8.png,17.0,7.0,10.0,18.0,1.0,,0.0,122.0,,2.0,,4.0,,,13.0,,,78.0,38.0,40.0,15.0,204.0,7.0,,18.0,,,2.0,,1.0,11.0,8.0,3.0,,1.0,61.0,31.0,30.0,,,,1.0,48.0,10.0,9.0,,,204.0,4.0,551.0,,,,,,,,,1.0,,27.0,6.0,68.0,,1.0,26.0,,,,,,,,,4.0,1.0,15.0,,9.0,3.0,,7.0,7.0,3.0,9.0,6.0,,18.0,432.0,211.0,232.0,418.0,11.0,4.0,38.0,,10.0,81.0,1068.0,10.0,16.0,9.0,12.0,184.0,556.0,,5.0,436.0,15.0,17.0,120.0,805.0,,26.0,26.0,5.0,21.0,,41.0,98.0,48.0,79.0,1.0,7.0
LaLiga Santander,https://www.laliga.com/en-ES/player/gonzalo-verdu,7142,gonzalo-verdu,Gonzalo Verdú,Gonzalo Verdú,Gonzalo,Verdú,male,1988-10-21T00:00:00+00:00,Cartagena,80.0,185.0,False,https://twitter.com/gonzaloverdu,,ES,Elche CF,ELC,1923-03-01T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/elche.png,5.0,Defender,https://assets.laliga.com/squad/2021/t954/p201550/512x556/p201550_t954_2021_1_001_000.png,Estadio Martínez Valero,https://assets.laliga.com/assets/2019/08/12/medium/150e2d322086b631feb7ec0016b982f6.png,51.0,23.0,28.0,19.0,,1.0,0.0,42.0,,14.0,,4.0,,,1.0,,,112.0,52.0,60.0,35.0,203.0,9.0,,19.0,,,,,,14.0,12.0,2.0,,,61.0,29.0,32.0,2.0,,,0.0,30.0,13.0,,,,219.0,,677.0,,,1.0,,,,,,3.0,,11.0,6.0,58.0,,,243.0,,,,,,,,,3.0,,16.0,,5.0,3.0,,,,,23.0,12.0,,66.0,570.0,125.0,470.0,529.0,10.0,9.0,38.0,1.0,1.0,,1387.0,,58.0,23.0,14.0,121.0,707.0,,3.0,595.0,19.0,5.0,112.0,864.0,,,,,34.0,,70.0,80.0,32.0,42.0,0.0,11.0
LaLiga Santander,https://www.laliga.com/en-ES/player/g-villar,7608,g-villar,Gonzalo Villar,G. Villar,Gonzalo,Villar,male,1998-03-23T00:00:00+00:00,Murcia,73.0,181.0,False,https://twitter.com/Gonzalo8Villar,https://instagram.com/gonzalovillar8/,ES,Getafe CF,GET,1983-03-30T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/getafe.png,6.0,Midfielder,https://assets.laliga.com/squad/2021/t1450/p450782/512x556/p450782_t1450_2021_1_001_000.png,Coliseum Alfonso Pérez,https://assets.laliga.com/assets/2019/06/17/medium/b881ba5a6846e7ccdbc3a6a75a2c5e69.png,10.0,6.0,4.0,10.0,1.0,,0.0,28.0,,1.0,,,,,1.0,,,50.0,21.0,29.0,13.0,38.0,4.0,,10.0,,,1.0,,,6.0,6.0,,,,40.0,15.0,25.0,,,,0.0,93.0,1.0,,,,30.0,,132.0,,,,,,,,,,,6.0,3.0,18.0,,,41.0,,,,,,,,,,2.0,2.0,,1.0,8.0,,,,8.0,5.0,,,10.0,113.0,52.0,64.0,106.0,2.0,3.0,38.0,2.0,,2.0,291.0,4.0,,9.0,13.0,33.0,137.0,,2.0,116.0,5.0,2.0,21.0,199.0,,1.0,1.0,,3.0,,6.0,14.0,8.0,15.0,0.0,
LaLiga Santander,https://www.laliga.com/en-ES/player/guedes,2663,guedes,Gonçalo Manuel Ganchinho Guedes,Guedes,Gonçalo Manuel,Ganchinho Guedes,male,1996-11-29T00:00:00+00:00,Benavente,68.0,179.0,True,,,PT,Valencia CF,VAL,1919-03-18T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/valencia.png,7.0,Midfielder,https://assets.laliga.com/squad/2021/t191/p181284/512x556/p181284_t191_2021_1_001_000.png,Camp de Mestalla,https://assets.laliga.com/assets/2019/06/17/medium/984682326cdbb55f5034778b7690a795.png,45.0,29.0,16.0,36.0,5.0,3.0,6.0,117.0,19.0,,,2.0,,31.0,37.0,,,361.0,186.0,175.0,67.0,267.0,14.0,1.0,36.0,,,6.0,,11.0,42.0,34.0,8.0,8.0,3.0,316.0,157.0,159.0,6.0,3.0,2.0,5.0,51.0,9.0,37.0,,2.0,156.0,5.0,707.0,,,,,,,2.0,1.0,6.0,,56.0,14.0,108.0,,6.0,196.0,,,,,,,,,22.0,28.0,30.0,,16.0,6.0,7.0,32.0,18.0,64.0,33.0,3.0,9.0,36.0,479.0,428.0,108.0,468.0,7.0,14.0,38.0,7.0,2.0,27.0,2613.0,106.0,1.0,37.0,74.0,526.0,736.0,,50.0,504.0,21.0,94.0,232.0,1393.0,18.0,78.0,57.0,60.0,11.0,3.0,32.0,277.0,33.0,200.0,2.0,3.0
LaLiga Santander,https://www.laliga.com/en-ES/player/gori,18851,gori,Gregorio Gracia Sánchez,Gori,Gregorio,Gracia Sánchez,male,2002-05-15T00:00:00+00:00,,,,False,,,ES,RCD Espanyol de Barcelona,ESP,1900-10-23T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/espanyol.png,32.0,Defender,https://assets.laliga.com/squad/2021/t177/p513952/512x556/p513952_t177_2021_1_001_000.png,RCDE Stadium,https://assets.laliga.com/assets/2019/06/17/medium/306cc02af120e092849ddf38954bcb3e.png,1.0,1.0,,1.0,,,0.0,1.0,,,,,,,,,,2.0,2.0,,1.0,3.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,0.0,1.0,,1.0,,,1.0,,6.0,,,,,,,,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,4.0,1.0,5.0,,,38.0,1.0,,,8.0,,,1.0,,1.0,6.0,,,5.0,,,1.0,8.0,,,,,,,1.0,1.0,,,0.0,1.0
LaLiga Santander,https://www.laliga.com/en-ES/player/carrillo-4,2270,carrillo-4,Guido Carrillo,Carrillo,Guido,Carrillo,male,1991-05-25T00:00:00+00:00,Magdalena,87.0,191.0,False,https://twitter.com/carrillogu,https://instagram.com/guidomcarrillo/,AR,Elche CF,ELC,1923-03-01T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/elche.png,7.0,Forward,https://assets.laliga.com/squad/2021/t954/p98914/512x556/p98914_t954_2021_1_001_000.png,Estadio Martínez Valero,https://assets.laliga.com/assets/2019/08/12/medium/150e2d322086b631feb7ec0016b982f6.png,146.0,62.0,84.0,29.0,,,0.0,83.0,2.0,2.0,,1.0,,,2.0,,,242.0,122.0,120.0,42.0,72.0,17.0,,29.0,,,,,2.0,20.0,19.0,1.0,2.0,,96.0,60.0,36.0,2.0,1.0,2.0,2.0,78.0,1.0,6.0,,,61.0,6.0,276.0,,,,,,,,,2.0,,12.0,7.0,38.0,,1.0,79.0,,,,,,,,,11.0,10.0,11.0,,6.0,18.0,,,,8.0,22.0,,9.0,5.0,188.0,141.0,66.0,202.0,3.0,4.0,38.0,,1.0,1.0,1157.0,21.0,27.0,33.0,25.0,149.0,295.0,,21.0,207.0,7.0,40.0,88.0,501.0,,1.0,1.0,6.0,1.0,2.0,3.0,65.0,24.0,85.0,0.0,3.0
LaLiga Santander,https://www.laliga.com/en-ES/player/g-rodriguez,14494,g-rodriguez,Guido Rodríguez,G. Rodriguez,Guido,Rodríguez,male,1994-04-12T00:00:00+00:00,Sáenz Peña,78.0,185.0,False,,,AR,Real Betis,BET,1907-09-12T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/betis.png,21.0,Midfielder,https://assets.laliga.com/squad/2021/t185/p197024/512x556/p197024_t185_2021_1_001_000.png,Estadio Benito Villamarín,https://assets.laliga.com/assets/2019/06/17/medium/f211dabccff68741a75d175307d78f59.png,50.0,17.0,33.0,32.0,,,1.0,180.0,8.0,12.0,,9.0,,,4.0,,,329.0,131.0,198.0,70.0,505.0,32.0,,32.0,,,2.0,,1.0,26.0,24.0,2.0,1.0,,279.0,114.0,165.0,3.0,1.0,1.0,0.0,49.0,31.0,12.0,,,437.0,2.0,1400.0,,,,,,,,,1.0,,68.0,43.0,206.0,1.0,,328.0,,,,,,,1.0,,5.0,8.0,29.0,,5.0,3.0,,1.0,1.0,18.0,34.0,10.0,11.0,100.0,1192.0,554.0,688.0,1141.0,44.0,53.0,38.0,3.0,,3.0,2533.0,26.0,51.0,47.0,50.0,264.0,1450.0,1.0,13.0,1241.0,97.0,11.0,209.0,1892.0,,3.0,3.0,9.0,34.0,,61.0,129.0,83.0,148.0,1.0,7.0
LaLiga Santander,https://www.laliga.com/en-ES/player/guillem-jaime,9526,guillem-jaime,Guillem Jaime,Guillem Jaime,Guillem,Jaime,male,1999-01-06T00:00:00+00:00,Tarragona,70.0,177.0,False,,,ES,FC Barcelona,BAR,1899-11-29T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/barcelona.png,38.0,Defender,,Camp Nou,https://assets.laliga.com/assets/2019/06/17/medium/0623ce55ec3ee4e439ed6d24fe2ba77b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaLiga Santander,https://www.laliga.com/en-ES/player/helibelton-palacios,17132,helibelton-palacios,Helibelton Palacios Zapata,H.palacios,Helibelton,Palacios Zapata,male,1993-06-11T00:00:00+00:00,Santander de Quilichao,75.0,177.0,False,,,CO,Elche CF,ELC,1923-03-01T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/elche.png,14.0,Defender,https://assets.laliga.com/squad/2021/t954/p149666/512x556/p149666_t954_2021_1_001_000.png,Estadio Martínez Valero,https://assets.laliga.com/assets/2019/08/12/medium/150e2d322086b631feb7ec0016b982f6.png,47.0,22.0,25.0,26.0,,,0.0,88.0,,8.0,,2.0,1.0,,5.0,,,236.0,85.0,151.0,34.0,314.0,19.0,,26.0,,,,,,28.0,26.0,2.0,,,189.0,63.0,126.0,1.0,,,0.0,100.0,18.0,7.0,1.0,,257.0,,710.0,,,1.0,,,,,,3.0,,46.0,13.0,115.0,,,68.0,,,,,,,,,1.0,,22.0,,5.0,4.0,,4.0,4.0,27.0,19.0,3.0,,24.0,556.0,288.0,288.0,548.0,31.0,38.0,38.0,,40.0,139.0,1931.0,18.0,57.0,28.0,30.0,265.0,727.0,,1.0,572.0,69.0,7.0,155.0,1249.0,,33.0,33.0,8.0,24.0,,41.0,113.0,75.0,114.0,0.0,6.0
LaLiga Santander,https://www.laliga.com/en-ES/player/hernani,2446,hernani,Hernâni Jorge Santos Fortes,Hernani,Hernâni Jorge,Santos Fortes,male,1991-08-20T00:00:00+00:00,Lisbon,72.0,179.0,False,,,PT,UD Las Palmas,LPA,1949-08-22T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/las-palmas.png,3.0,Forward,,Estadio Gran Canaria,https://assets.laliga.com/assets/2019/08/12/medium/e0129e197124bb917f768da2112d594a.png,4.0,3.0,1.0,5.0,,,0.0,10.0,2.0,,,,,,2.0,,,12.0,5.0,7.0,1.0,5.0,,,5.0,,,,,,4.0,4.0,,,,8.0,2.0,6.0,,,,0.0,10.0,,1.0,,,6.0,1.0,22.0,,,,,,,,,,,,,7.0,,,2.0,,,,,,,,,1.0,2.0,,,,5.0,,1.0,1.0,5.0,,,,,18.0,15.0,5.0,19.0,,,44.0,,,2.0,91.0,2.0,,,1.0,17.0,23.0,,3.0,19.0,,7.0,4.0,51.0,,5.0,5.0,2.0,,,1.0,8.0,1.0,3.0,0.0,
LaLiga Santander,https://www.laliga.com/en-ES/player/hugo-duro,7122,hugo-duro,Hugo Duro,Hugo Duro,Hugo,Duro,male,1999-11-10T00:00:00+00:00,Getafe,70.0,177.0,False,,,ES,Valencia CF,VAL,1919-03-18T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/valencia.png,19.0,Forward,https://assets.laliga.com/squad/2021/t191/p439716/512x556/p439716_t191_2021_1_001_000.png,Camp de Mestalla,https://assets.laliga.com/assets/2019/06/17/medium/984682326cdbb55f5034778b7690a795.png,110.0,70.0,40.0,30.0,,,,97.0,5.0,2.0,,1.0,,,8.0,,,281.0,160.0,121.0,55.0,106.0,16.0,2.0,30.0,,,1.0,,7.0,28.0,23.0,5.0,7.0,,171.0,90.0,81.0,3.0,2.0,1.0,,10.0,4.0,13.0,,3.0,89.0,7.0,355.0,,,1.0,,,,,,4.0,,34.0,22.0,64.0,1.0,2.0,81.0,,,,,,,,,11.0,15.0,22.0,,17.0,8.0,,1.0,1.0,13.0,31.0,2.0,13.0,5.0,250.0,195.0,74.0,263.0,6.0,19.0,38.0,,1.0,2.0,1844.0,44.0,16.0,29.0,44.0,227.0,373.0,1.0,26.0,268.0,25.0,69.0,105.0,709.0,,11.0,11.0,12.0,4.0,5.0,8.0,95.0,21.0,97.0,,2.0
LaLiga Santander,https://www.laliga.com/en-ES/player/hugo-gonzalez-1,23268,hugo-gonzalez-1,Hugo González,Hugo González,Hugo,Gonzalez,male,2003-02-07T00:00:00+00:00,Valencia,,,False,,,ES,Valencia CF,VAL,1919-03-18T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/valencia.png,31.0,Midfielder,https://assets.laliga.com/squad/2021/t191/p492900/512x556/p492900_t191_2021_1_001_000.png,Camp de Mestalla,https://assets.laliga.com/assets/2019/06/17/medium/984682326cdbb55f5034778b7690a795.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaLiga Santander,https://www.laliga.com/en-ES/player/hugo-g,9363,hugo-g,Hugo Guillamón,Hugo G.,Hugo,Guillamón,male,2000-01-31T00:00:00+00:00,L'Eliana,62.0,178.0,False,,,ES,Valencia CF,VAL,1919-03-18T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/valencia.png,6.0,Defender,https://assets.laliga.com/squad/2021/t191/p437460/512x556/p437460_t191_2021_1_001_000.png,Camp de Mestalla,https://assets.laliga.com/assets/2019/06/17/medium/984682326cdbb55f5034778b7690a795.png,88.0,40.0,48.0,31.0,,,0.0,120.0,2.0,10.0,,3.0,,2.0,2.0,,,324.0,160.0,164.0,63.0,385.0,41.0,,31.0,3.0,,,,1.0,40.0,35.0,5.0,1.0,,236.0,120.0,116.0,3.0,,1.0,1.0,100.0,30.0,13.0,,,287.0,2.0,995.0,,1.0,,,,,,,5.0,,31.0,16.0,169.0,1.0,1.0,307.0,,,,,,,1.0,,3.0,2.0,28.0,1.0,8.0,3.0,,1.0,1.0,10.0,30.0,16.0,5.0,113.0,792.0,474.0,411.0,771.0,16.0,27.0,38.0,2.0,1.0,5.0,2366.0,27.0,49.0,71.0,63.0,276.0,1099.0,2.0,5.0,884.0,43.0,11.0,215.0,1443.0,2.0,5.0,3.0,6.0,35.0,1.0,74.0,156.0,64.0,141.0,1.0,8.0
LaLiga Santander,https://www.laliga.com/en-ES/player/hugo-mallo,586,hugo-mallo,Hugo Mallo,Hugo Mallo,Hugo,Mallo,male,1991-06-22T00:00:00+00:00,Marín,69.0,173.0,False,,https://instagram.com/hugomallo/,ES,RC Celta,CEL,1923-08-23T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/celta.png,2.0,Defender,https://assets.laliga.com/squad/2021/t176/p76508/512x556/p76508_t176_2021_1_001_000.png,Estadio ABANCA Balaídos,https://assets.laliga.com/assets/2019/06/17/medium/0aef263ef366bd0b81369408adb27cd6.png,69.0,28.0,41.0,21.0,1.0,,0.0,149.0,4.0,9.0,,7.0,1.0,,10.0,,,195.0,97.0,98.0,43.0,384.0,24.0,,21.0,,,1.0,,1.0,25.0,21.0,4.0,1.0,,126.0,69.0,57.0,2.0,,,1.0,48.0,20.0,19.0,,1.0,383.0,6.0,940.0,,,1.0,,,,,,1.0,,41.0,14.0,97.0,2.0,,37.0,,,,,,,,,11.0,2.0,21.0,,2.0,,,11.0,11.0,8.0,22.0,8.0,2.0,29.0,720.0,379.0,364.0,703.0,20.0,25.0,38.0,,21.0,191.0,1828.0,18.0,47.0,38.0,4.0,350.0,953.0,2.0,13.0,732.0,45.0,43.0,221.0,1497.0,,62.0,62.0,8.0,43.0,,72.0,206.0,77.0,149.0,1.0,3.0
